justification count,frequency,ontology frequency
1,1220,62
2,6396,105
3,2249,79
4,1452,69
5,590,46
6,504,42
7,277,32
8,509,35
9,196,23
10,153,23
11,104,19
12,117,18
13,67,13
14,80,15
15,61,14
16,424,17
17,27,13
18,46,12
19,12,7
20,57,10
21,12,7
22,11,5
23,15,5
24,11,6
25,6,4
26,3,3
27,7,3
28,47,3
29,6,5
30,5,2
31,3,3
32,52,7
33,2,1
34,4,1
36,24,3
37,2,2
38,2,2
39,4,3
40,1,1
41,3,2
43,3,2
44,2,1
45,1,1
46,2,2
47,1,1
48,4,3
49,2,2
50,2,1
52,1,1
53,1,1
55,2,2
56,51,1
57,1,1
59,2,1
60,5,1
62,5,1
64,3,2
65,2,1
66,1,1
67,1,1
68,1,1
71,2,1
72,1,1
77,1,1
78,15,1
79,1,1
83,1,1
87,1,1
90,1,1
91,1,1
92,1,1
93,2,1
94,1,1
96,3,1
100,1,1
101,2,1
103,1,1
105,1,1
107,1,1
109,1,1
113,1,1
121,1,1
124,7,1
128,1,1
130,27,1
131,2,1
135,1,1
139,1,1
145,1,1
155,1,1
158,1,1
159,1,1
163,2,1
167,1,1
177,13,1
180,2,1
181,1,1
188,1,1
200,1,1
205,1,1
211,1,1
219,1,1
247,1,1
248,2,1
299,1,1
499,3,1
500,3,2
