ontology,size,entailments,justifications,axioms in justs,activity,DL group
amphibian-gross-anatomy,2673,64,128,100,3.74%,AL
ascomycete-phenotype-ontology,294,2,4,5,1.70%,AL
c-elegans-gross-anatomy,12221,213,606,619,5.07%,AL
c-elegans-phenotype,2326,194,531,514,22.10%,AL
cereal-plant-gross-anatomy,2091,235,796,470,22.48%,AL
chemical-entities-of-biological-interest,68723,461,2249,2132,3.10%,AL
clinical-measurement-ontology,828,115,351,231,27.90%,AL
evidence-codes,345,316,690,234,67.83%,AL
fly-taxonomy,6587,4,8,24,0.36%,AL
health_indicators,548,15,35,41,7.48%,AL
health-level-seven,77012,55,115,207,0.27%,AL
hom-harvard,189,18,51,24,12.70%,AL
human-disease-ontology,6706,66,156,394,5.88%,AL
human-phenotype-ontology,13183,372,1948,1819,13.80%,AL
leukocyte-surface-markers,472,9,18,16,3.39%,AL
loggerhead-nesting,347,23,50,38,10.95%,AL
maize-gross-anatomy,217,3,6,9,4.15%,AL
mammalian-phenotype,10758,287,1066,1347,12.52%,AL
mesh-thesaurus-owl-version-,403210,117,296,1067,0.26%,AL
molecule-role-inoh-protein-name-family-name-ontology-,9629,58,128,213,2.21%,AL
mosquito-gross-anatomy,2733,11,22,36,1.32%,AL
mouse-adult-gross-anatomy,3776,58,120,164,4.34%,AL
mouse-pathology,808,122,270,209,25.87%,AL
ontology-of-glucose-metabolism-disorder,132,12,24,12,9.09%,AL
pathway-ontology,1138,151,463,421,36.99%,AL
pediatric-terminology,893,17,34,38,4.26%,AL
physico-chemical-process,734,309,949,352,47.96%,AL
plant-environmental-conditions,499,27,63,57,11.42%,AL
plant-trait-ontology,1351,78,171,241,17.84%,AL
protein-modification,1986,172,435,476,23.97%,AL
protein-protein-interaction,1007,56,132,158,15.69%,AL
solanaceae-phenotype-ontology,411,60,158,56,13.63%,AL
spider-ontology,778,68,160,75,9.64%,AL
symptom-ontology,839,3,6,6,0.72%,AL
systems-biology,587,125,298,171,29.13%,AL
vertebrate-trait-ontology,3565,253,749,806,22.61%,AL
xenopus-anatomy-and-development,2242,10,20,23,1.03%,AL
yeast-phenotypes,266,2,4,5,1.88%,AL
zebrafish-anatomy-and-development,10495,134,360,221,2.11%,AL
anatomical-entity-ontology,357,95,209,72,20.17%,HRS
biological-imaging-methods,548,84,330,77,14.05%,HRS
biomedical-resource-ontology,1252,72,152,91,7.27%,HRS
cell-type,2975,445,1833,1037,34.86%,HRS
drosophila-gross-anatomy,19211,405,1784,1472,7.66%,HRS
environment-ontology,1807,178,452,409,22.63%,HRS
event-inoh-pathway-ontology-,7131,122,308,431,6.04%,HRS
gene-ontology,65833,426,2080,3189,4.84%,HRS
human-developmental-anatomy-abstract-version-v2,13267,170,405,333,2.51%,HRS
hymenoptera-anatomy-ontology,9250,9,18,37,0.40%,HRS
malaria-ontology,3156,3,6,16,0.51%,HRS
mass-spectrometry,4598,11,28,42,0.91%,HRS
nci-thesaurus,123270,283,1717,1643,1.33%,HRS
