size,aritybin,total count,ontology count
2,2,1517,60
2,4,1677,62
2,5,397,55
2,7,788,55
2,9,698,57
2,11,361,50
2,14,487,49
2,18,538,53
2,24,556,51
2,30,1985,58
3,2,2228,61
3,4,2754,66
3,5,700,54
3,7,1390,58
3,9,1710,55
3,11,962,51
3,14,1374,53
3,18,1040,49
3,24,995,47
3,30,2074,53
4,2,3074,63
4,4,5092,64
4,5,1338,55
4,7,3004,51
4,9,2598,51
4,11,1496,46
4,14,1723,45
4,18,1239,45
4,24,705,42
4,30,1310,49
5,2,5249,60
5,4,6700,54
5,5,2153,50
5,7,4025,54
5,9,2486,46
5,11,1028,39
5,14,973,41
5,18,661,41
5,24,417,37
5,30,1008,33
6,2,5810,52
6,4,6715,53
6,5,1901,40
6,7,2696,43
6,9,1454,39
6,11,513,36
6,14,397,27
6,18,316,27
6,24,404,24
6,30,1352,22
7,2,3890,48
7,4,5652,45
7,5,1264,32
7,7,1256,33
7,9,633,28
7,11,347,24
7,14,434,22
7,18,346,19
7,24,635,16
7,30,1684,12
8,2,3372,40
8,4,3759,36
8,5,720,24
8,7,815,27
8,9,438,20
8,11,249,16
8,14,348,14
8,18,531,13
8,24,1033,8
8,30,1815,6
9,2,2367,32
9,4,2440,29
9,5,340,16
9,7,387,20
9,9,242,14
9,11,246,7
9,14,522,7
9,18,887,7
9,24,1319,4
9,30,1793,4
10,2,1657,24
10,4,1182,23
10,5,135,10
10,7,169,12
10,9,311,7
10,11,460,5
10,14,900,5
10,18,1151,3
10,24,1309,5
10,30,2021,2
11,2,907,20
11,4,522,17
11,5,79,9
11,7,229,6
11,9,422,5
11,11,798,4
11,14,1275,4
11,18,1312,3
11,24,1468,2
11,30,2558,2
12,2,485,18
12,4,289,12
12,5,71,6
12,7,271,4
12,9,787,5
12,11,1128,5
12,14,1448,3
12,18,1752,2
12,24,2171,2
12,30,2974,2
13,2,244,11
13,4,217,7
13,5,78,6
13,7,488,3
13,9,1019,4
13,11,1747,2
13,14,1545,3
13,18,2451,2
13,24,3511,1
13,30,2736,1
14,2,183,9
14,4,151,6
14,5,116,3
14,7,794,4
14,9,2036,2
14,11,1809,2
14,14,1986,2
14,18,3385,2
14,24,4326,1
14,30,1884,1
15,2,101,6
15,4,139,5
15,5,249,2
15,7,1133,1
15,9,2951,2
15,11,1541,2
15,14,2591,1
15,18,4708,1
15,24,4055,1
15,30,805,1
16,2,61,7
16,4,203,3
16,5,369,1
16,7,2274,1
16,9,2351,2
16,11,1517,2
16,14,3962,2
16,18,4695,1
16,24,2753,1
16,30,130,1
17,2,32,4
17,4,312,2
17,5,563,1
17,7,2781,2
17,9,1726,2
17,11,2128,2
17,14,4758,1
17,18,3413,1
17,24,874,1
17,30,9,1
18,2,23,3
18,4,466,2
18,5,806,2
18,7,2371,2
18,9,1832,2
18,11,3120,2
18,14,3402,1
18,18,1259,1
18,24,100,1
18,30,17,1
19,2,40,2
19,4,681,2
19,5,1197,2
19,7,1629,2
19,9,2407,2
19,11,2205,1
19,14,1087,1
19,18,215,1
19,24,87,1
19,30,1,1
20,2,62,1
20,4,968,3
20,5,560,2
20,7,1761,2
20,9,1623,2
20,11,643,1
20,14,226,1
20,18,153,1
20,24,39,1
21,2,59,2
21,4,744,2
21,5,653,2
21,7,1226,2
21,9,448,1
21,11,150,1
21,14,178,1
21,18,91,1
22,2,109,2
22,4,663,2
22,5,456,1
22,7,468,2
22,9,183,1
22,11,166,1
22,14,95,1
22,18,4,1
23,2,119,3
23,4,496,2
23,5,269,2
23,7,286,1
23,9,161,1
23,11,40,1
23,14,6,1
24,2,104,2
24,4,389,2
24,5,246,1
24,7,122,1
24,9,24,1
25,2,62,2
25,4,422,2
25,5,31,1
25,7,19,1
26,2,87,2
26,4,200,1
26,5,1,1
27,2,92,1
27,4,13,1
28,2,26,1
30,2,1,1
34,2,1,1
